Date : 2023-09-21 09:14:59
Directory : /Users/ayaanzaveri/Code/cognite
Total : 115 files,  20824 codes, 132 comments, 2678 blanks, all 23634 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/ayaanzaveri/Code/cognite/types/next-auth.d.ts                                              | TypeScript         |         14 |          0 |          3 |         17 |
| /Users/ayaanzaveri/Code/cognite/utils/chain.ts                                                    | TypeScript         |         15 |         15 |          3 |         33 |
| /Users/ayaanzaveri/Code/cognite/utils/embed.ts                                                    | TypeScript         |         15 |          0 |          4 |         19 |
| /Users/ayaanzaveri/Code/cognite/utils/getChunks.ts                                                | TypeScript         |          8 |          0 |          9 |         17 |
| /Users/ayaanzaveri/Code/cognite/utils/scrapeSite.ts                                               | TypeScript         |         14 |          0 |          2 |         16 |
| /Users/ayaanzaveri/Code/cognite/utils/timestampDate.ts                                            | TypeScript         |         26 |          0 |          5 |         31 |
| /Users/ayaanzaveri/Code/cognite/utils/vector.ts                                                   | TypeScript         |         46 |          0 |          6 |         52 |
| /Users/ayaanzaveri/Code/cognite/utils/ytTranscript.ts                                             | TypeScript         |          6 |          0 |          1 |          7 |
| Total                                                                                             |                    |     20,824 |        132 |      2,678 |     23,634 |
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
