"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "YAML", "Markdown", "TypeScript JSX", "XML", "Prisma", "SQL", "PostCSS", "comment", "blank", "total"
"/Users/ayaanzaveri/Code/cognite/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 25, 177
"/Users/ayaanzaveri/Code/cognite/components/ui/hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 7, 30
"/Users/ayaanzaveri/Code/cognite/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"/Users/ayaanzaveri/Code/cognite/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"/Users/ayaanzaveri/Code/cognite/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 12, 121
"/Users/ayaanzaveri/Code/cognite/components/ui/skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/Users/ayaanzaveri/Code/cognite/components/ui/switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"/Users/ayaanzaveri/Code/cognite/components/ui/tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 8, 56
"/Users/ayaanzaveri/Code/cognite/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/Users/ayaanzaveri/Code/cognite/components/ui/toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 13, 128
"/Users/ayaanzaveri/Code/cognite/components/ui/toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"/Users/ayaanzaveri/Code/cognite/components/ui/tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 8, 31
"/Users/ayaanzaveri/Code/cognite/components/ui/use-toast.ts", "TypeScript", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31, 193
"/Users/ayaanzaveri/Code/cognite/config/subscriptions.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 41
"/Users/ayaanzaveri/Code/cognite/custom.d.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/ayaanzaveri/Code/cognite/helpers/getTheme.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/ayaanzaveri/Code/cognite/lib/auth.ts", "TypeScript", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 125
"/Users/ayaanzaveri/Code/cognite/lib/db.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"/Users/ayaanzaveri/Code/cognite/lib/prisma-edge.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/Users/ayaanzaveri/Code/cognite/lib/prompts.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"/Users/ayaanzaveri/Code/cognite/lib/session.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/ayaanzaveri/Code/cognite/lib/stripe.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/ayaanzaveri/Code/cognite/lib/subscription.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"/Users/ayaanzaveri/Code/cognite/lib/utils.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"/Users/ayaanzaveri/Code/cognite/lib/validations/stripe.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/ayaanzaveri/Code/cognite/middleware.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 46
"/Users/ayaanzaveri/Code/cognite/next.config.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 42
"/Users/ayaanzaveri/Code/cognite/package.json", "JSON", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 1, 112
"/Users/ayaanzaveri/Code/cognite/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 14405, 0, 0, 0, 0, 0, 0, 0, 1828, 16233
"/Users/ayaanzaveri/Code/cognite/postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/ayaanzaveri/Code/cognite/prettier.config.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/ayaanzaveri/Code/cognite/prisma/migrations/20230709021220_init/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 14, 18, 87
"/Users/ayaanzaveri/Code/cognite/prisma/migrations/20230710000637_embeddings/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 9, 4, 29
"/Users/ayaanzaveri/Code/cognite/prisma/migrations/20230719011809_add_username_field/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 18, 7, 42
"/Users/ayaanzaveri/Code/cognite/prisma/migrations/20230719130257_restart/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 9, 3, 16
"/Users/ayaanzaveri/Code/cognite/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 12, 93
"/Users/ayaanzaveri/Code/cognite/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/ayaanzaveri/Code/cognite/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/ayaanzaveri/Code/cognite/scraped.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ayaanzaveri/Code/cognite/sst-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
